,string,valid
208,BTXSXTPXVVTPSE,0
209,BMQUWWVZUWWVYE,0
210,BTSXXVPXVPXVPXTVPXTVPXTTVVE,1
211,BTSSXXVPXVPXTVPXTTTVVE,1
212,BTXXTTTTVPXVPXTVPSE,1
213,BPVTPXVVVVTVE,0
214,BTSSXXVPXVPXTTTVPXTVVE,1
215,BPVPXTTTVPXTVPXTTTVPXVPXTTTTVPSE,1
216,BTSXXTTTVPXTTTVPXTVPSE,1
217,BADFHJJILHJJILHIKE,0
218,BADDDDDDDDFHJILHJIKE,0
219,BPVPXTVPXVPXTTTTVVE,1
220,BQMNUCCCCCCCCCCADE,0
221,BPVPXTTVPXVPXVPXVPXTVPXVVE,1
222,BQMMNUCAFUCAFUCAFRE,0
223,BPVPXTVPXTTVPSE,1
224,BPTTTTVPXVPXTTVPXTVPXVVE,1
225,BQMMMNUCCAFUCCCCAFRE,0
226,BPSXPXSSSSSSSSSXVE,0
227,BTSXXTTTVPXTVPXTTTVPSE,1
228,BTSSSXXTTTTTTVVE,1
229,BADFHJJJILHJJILHJJJILGE,0
230,BPTTVPXTTTTTTTTVPSE,1
231,BPTVPXTTTTVPXVPXTVVE,1
232,BPVPXTTTTVPXVPXVPXTTVPSE,1
233,BPXPXSXPXSSSXPXXVE,0
234,BQMNUCCCCCCCCCAFRE,0
235,BTSSSXXVPXVPXVPXTTVPXVPSE,1
236,BPTTVXPTTTVXPTTVXVE,0
237,BTXXTTVPXTTTVPXTTTVPXTTTVVE,1
238,BTSSSXXTVPXTTTTTTVVE,1
239,BTSXXTTTTVPXTTTTVPXTVVE,1
240,BPTVXPVXPTTTTVXPVXVE,0
241,BCJILHJJJJJJJJJJILHILGE,0
242,BTTTVPXVPXTTVPXVPSE,0
243,BPTTTTVPXTTTTTVPXVPXVPXTVPXTVPXVVE,1
244,BTSSSSXXVPXVPXTTTTTVPSE,1
245,BPTVPXVPXTTTTVPXTVPXTTTTVPSE,1
246,BTSSSSXXTVPXTTTTTTVPXTTTVPSE,1
247,BMOOOOOQUVZUVZUWWWVZRE,0
248,BPSSSSSSSSSSXXTVVE,0
249,BPTTTTTTVPXTVPXVPXVPXTVPSE,1
250,BOAFUAFUCAFUCADE,0
251,BMOOOOOOOOQUAFRE,0
252,BPSXPXSXPXSSSXPXXVE,0
253,BTXPVXPVXPTTVXVE,0
254,BTSSXXTVPXTTTTTTVPXTTTTTVVE,1
255,BPVPXVPXTTTTTVPXVPXTVVE,1
256,BTXXTTTVPXVPXTTTVPXTTTTTTVVE,1
257,BTTTVXSXPXSSSSSXVE,0
258,BTSSSSXXVPXTVPXTVVE,1
259,BPTVPXTTTVPXTVVE,1
260,BTXXTTTVPXVPXTTTTVPXTVPXTVPXVPXVPSE,1
261,BAFHJJILHILHJILGE,0
262,BNCAFUCCAFRE,0
263,BTSSSSSXXVPXVPXTVPXVVE,1
264,BPSSSXPXSSSSSSSXPXXPXXPXXVE,0
265,BTSXVVTPXTPXTVE,0
266,BTXXTTVPXVPXVPXTTTTVPXTVVE,1
267,BPVVVVTPXVTVE,0
268,BPTTVPXTTTTVPXTTTVPXVPSE,1
269,BPSSSSXXTVPXVVE,0
270,BMOOQUWWWWVZRE,0
271,BCJJILHILHJJIKE,0
272,BTSSXXVPXVPXTTVPXVVE,1
273,BPTVPXTTTVPXVPXTTTTTTTVVE,1
274,BTXXTVPXVVE,1
275,BPTTTTTTVPXTVPXTTVPXVPXVVE,1
276,BTSSSSXXVPXTVPXVPXTVPSE,1
277,BADFHJJILHJJJJJJILHJIKE,0
278,BPTVPXTTTVPXTTVPXTVPXTVPXVPXVVE,1
279,BTXXTTTVPXTTTVPXVPXVPXVPSE,1
280,BCILHJILHJJJILHIKE,0
281,BPTVPXVPXTVPXTVPXVVE,1
282,BPTTTTTTTVPXTVPXTTTVPSE,1
283,BMOQUWWVZUWWWWWWVYE,0
284,BADDDDDDDFHJJJJJILGE,0
285,BPSSXXTTTTTVPXVPXTTVVE,0
286,BPSXPXSSSXPXSXPSE,0
287,BNAFUAFUCCAFUCADE,0
288,BTSSXXVPXTVPXTTTTVPSE,1
289,BTSSSXXVPXTTVPXVPSE,1
290,BQNUAFUCCCCCCADE,0
291,BPTVPXVPXTVPXTTVPXTVVE,1
292,BMOOOOOOOQUVZUVZRE,0
293,BTXXTTTTTTTVPXTVPXTTVVE,1
294,BMQUVZUWVZUWVZUWWVZRE,0
295,BPSSXXVPXTVVE,0
296,BPTVPXTTTVPXTTTVPXVVE,1
297,BADFHJJILHJJJJILGE,0
298,BMQUCAFUCCAFUAFRE,0
299,BTXPVXPTTVXPTVSE,0
300,BTTTVXXPXXPXSXPXXVE,0
301,BTSSXXTTTTTTVPSE,1
302,BTSSSSSSSXXTTVPXVVE,1
303,BTSSSSXXTTTVVE,1
304,BTTVPXTTTTVVE,0
305,BTTVXXPXSSXPXSSXVE,0
306,BNVZUWWVZUWVZRE,0
307,BTTTTVXSSSXPXSXPXSSSSSSXPSE,0
308,BTSSSSXXTVPXTTTTTVPXTTTVPXVPSE,1
309,BPSSSSSSSSSSSXXVPXVPXVVE,0
310,BPTVPXTTVPXTTVPXTTTTVPXVPXTVPXVVE,1
311,BPTTVPXTTVPXTTTTTTVPXVVE,1
312,BPVPXTTTVPXTTVPXVPXVPXVVE,1
313,BTSXPTTTTTVXPVXVE,0
314,BPTTTTTTTTTTTTVPXTVVE,1
315,BNWWWVZUVZUWWWWWWVYE,0
316,BMQUVZUWWWVZUWWVYE,0
317,BNWWVZUWVZUWVZUVYE,0
318,BCILHJJJJILHJILHIKE,0
319,BNCAFUAFUAFUCCCAFRE,0
320,BPTTTVPXTTTVPXTTTTVPXTVPXVVE,1
321,BPTTTVPXTVPXVPXTTVPXVVE,1
322,BMOQUCCAFUCCAFUCCADE,0
323,BMQUVZUWWVYE,0
324,BTSXXVPXTTTTVPXTVVE,1
325,BPVPXTTTVPXVPXTTTTTVPXVVE,1
326,BTSSXXTTVPXTTVPXTTTTTVPXTVPSE,1
327,BMOOOOOOOOQUWVZUWWVZRE,0
328,BTXXVPXTTTTTVPXTVPXTTTTVVE,1
329,BPXPXSSSSXPXSSSSSSSSSXPXSXVE,0
330,BTSSSSSSSSXXTTVPXTTTVPSE,1
331,BQMMMMMMNUAFRE,0
332,BTSSSSSSXXTTTVPXTTVPXVPSE,1
333,BPVPXTVPXVPXTTVPXTTTVPXVPSE,1
334,BTSSSSSSXXTTTVPXVPXVPXTVVE,1
335,BTSSSSSXXTTTVPXVPXTTVPSE,1
336,BPTTTTVPXTTTVPXVPXTTTVPXTVVE,1
337,BTVPXTTTVPXTTVPXTVPXVVE,0
338,BTSSXPTTTVXPTVXPTTVXVE,0
339,BTXPVXPVXPVXPTTTVXPVSE,0
340,BTSSXXTVPXTVPXTVPXVPXVPSE,1
341,BTXXTTTVPXTTVPXTVPXTVPSE,1
342,BPTTTTTTTVPXTTTTTTTVPSE,1
343,BPTTTTTTTVPXTTTTVPXVPXTTTTVPXTTTTTVPXVVE,1
344,BTSXTPXTPXTPSE,0
345,BTXXVPXVPXVPXVPXTTTTVPSE,1
346,BPTTTTTVPXTTTVVE,1
347,BNWVZUWWWWWWWVZUWVZUVYE,0
348,BTXPVXPTTVXPVXVE,0
349,BTSXXVPXTTTVPXTVPXVVE,1
350,BPVPXTTVPXVPXTTTVPXVPSE,1
351,BTSSXXTTTTVPXTTTTTVPSE,1
352,BPTVPXTTTVPXTVPXTTVPSE,1
353,BPXXTVPXTTTVPXVPXVPXTVVE,0
354,BOCAFUAFUAFUCCCAFUAFUCAFRE,0
355,BMQUCAFUCCCCCCCCAFUAFRE,0
356,BPTTTTTTTTVPXTTTTTTTVPXTTTVVE,1
357,BMOOOOQUCCCAFUAFUCCADE,0
358,BPTTVXPVXPTTVSE,0
359,BNWVZUWWWWWVZRE,0
360,BTXXVPXTTVPXTVPXTVPXTVPXVVE,1
361,BPSSSSXPXXPXSSXPXSSSSXPSE,0
362,BNAFUCCCCCCAFUAFRE,0
363,BTXXTTVPXVPXTTTTTTTTVVE,1
364,BPVPXTTTVPXTVPXTTVPSE,1
365,BTSXXTVPXVPXVPXTTTVPSE,1
366,BTSSXXVPXVPXTVPXTVVE,1
367,BNWVZUWWVZUWVZUVZUVYE,0
368,BPVXPTVXPTTTVSE,0
369,BPSSSSSSSSSXPXSXVE,0
370,BTSXXTVPXTTTTTTTTTVPXVPXVVE,1
371,BCJILHJJJJILHJJILHJJJIKE,0
372,BTSXPTTTTTTTVXPTVXVE,0
373,BTSSSSXXTTTTTTTTVPXTTTVPXVPSE,1
374,BPTVPXVPXTTVPXTTVPXTVPSE,1
375,BTSSXXTTTTTTTTVPXVVE,1
376,BTSSSSXXTTVPXVPXVPXTVVE,1
377,BPVPXVPXTTVPXVPXTVPSE,1
378,BTTTVPXTTVPXTVPXTVVE,0
379,BTSXXTTVPSE,1
380,BNWVZUWVZUVZUWVZUWVZUVZUWWWWVZUWWVZUVZUVZUWWVZRE,0
381,BPXPXSXPXXPXXPXSSSXVE,0
382,BTSXXTTTTTTTVPXTVPSE,1
383,BPTTTTTTVPXTTTVPSE,1
384,BADDDDDDDFHJILHJILHILGE,0
385,BPTVPXTTTTTVPXTTTVVE,1
386,BTSSSXXVPXTTTTTTTTTVPXVPSE,1
387,BTSSSSSSSSXXVVE,1
388,BQMMMMNUCCCAFUCAFUADE,0
389,BTXXVPXTTVPXTTVPXTTVVE,1
390,BTSSXXVPXVPXVVE,1
391,BAFHJJJJJJILHJILGE,0
392,BTXXVPXTTVPXVPXTVPXTVPSE,1
393,BPTTTVXPVXPTTTTTTTVSE,0
394,BTSSXXVPXTVPXVPXVPXTVVE,1
395,BTTTTTVXSSXPXXVE,0
396,BTTTTTTTVPXVPXTVPXVPSE,0
397,BPVPXVPXTVPXTTVPXVVE,1
398,BTSSSSSSSXXVVE,1
399,BPSSSSSSSSXXTVPXVPSE,0
400,BPVPXTVPXTVPXTTTVPXTTVVE,1
401,BAFHILHILGE,0
402,BTXXTTTTTVPXVPXTTTVPSE,1
403,BTSXXTTTTTTVPXTTTTVPXTVPXTVVE,1
404,BPTTVPXTVPXVPXTVPXTVPSE,1
405,BPTVPXTVPXTTTTVPXTVVE,1
406,BPTTVPXTTTTVPXTTTVPSE,1
407,BTXXTVPXTVPXTTTVVE,1
408,BPTTTTVPXVPXVPXTVVE,1
409,BTXXVPXTTTVPXVPXVPXTTTTVPSE,1
410,BMOOQUVZUWWVZUWWVYE,0
411,BMQUCCCCAFUCCCAFUAFUCCCAFUAFRE,0
412,BNWVZUWWWVZUVZUWWWVYE,0
413,BTSSXXTTTTTTVPXTVVE,1
414,BPVPXVPXVPXVPXVPSE,1
415,BNVZUWWWWVZUWWWWWWWVYE,0
416,BTXXTTVPXTVPXVPXTTVPSE,1
417,BPTTTVPXTVPXVPXTTTTTTTVVE,1
418,BMOOQUWVZUWWWWWWWVZUVYE,0
419,BTSSXXTTVPXTTTVPXVPSE,1
420,BADFHJJILHILHJILHILHIKE,0
421,BTSXXTTVPXVPXTTTTVPXTTTVVE,1
422,BPTTVPXVPXVPXTVPXTTVPXTVVE,1
423,BPSSXXTVPXVPXTVPXTVPSE,0
424,BTSSXXTTTTVPXTTTTTTTVVE,1
425,BTXXTTTVPXTVPXTTTTTVPXTVVE,1
426,BPVPXTVPXTTTTVPXTTTVPXTTTTTTTVPXTVPXVVE,1
427,BPVPXVPXTTVPXTTVPXVPXVVE,1
428,BTSXXVPXVPXTVPXVPXTVPSE,1
429,BPTVPXTTTTTTTTTTTVPXVVE,1
430,BTTTVPXVPXVPXTTTVPSE,0
431,BNAFUCCAFUCCAFRE,0
432,BCILHJJILHJILHJJILHJJJILGE,0
433,BTSXXTTTTVPXTTTTTTTTTTTTVPSE,1
434,BTXXVPXTVPXTVPXTTVVE,1
435,BPTTTVPXTTVPXTTVPXTVPXVPXVPXTVVE,1
436,BTSSSXXTTTVPXTTVPXTTTTTVPXVPXTVPSE,1
437,BPXPXSSXPXXPSE,0
438,BTSXXTTTVPXTVPXTTVPXTTVPSE,1
439,BPTTTVPXVPXVPXTVPXTTVVE,1
440,BPXPXSSSSSXPXXPXXVE,0
441,BTSXXVPXTVPXTVPXVVE,1
442,BMQUCAFUAFUCCCCCCCCADE,0
443,BTSXPTTVXPTVXPTTVXPTVXPTVSE,0
444,BCILHJJJJJJILGE,0
445,BPTTTTTVPXVPXTTVVE,1
446,BTXXTTTVPXVPXVPXVVE,1
447,BAFHJJJILHJILHILHILHILGE,0
448,BTSSSXXVPXTVPXVPSE,1
449,BMOQUVZUVZUWWWWVYE,0
450,BTSSXXTVPXTTTTVPXVVE,1
451,BMQUWWWWVZUWVZUVYE,0
452,BTTVXSSSSSSSSSSSSSSSXPSE,0
453,BTTVPXVPXTTVPXTTVVE,0
454,BPTTTVPXVPXTVPSE,1
455,BTSSSSSSSSSXXVPXVPXVVE,1
456,BTXXVPXTTTTTTTTTTTTTVPSE,1
457,BTSSXXTTTVPXVPXTVPXTTTVPXTVPSE,1
458,BTTTTTTTTTTVXXPSE,0
459,BPTTTTTVPXVPXTTTTVPSE,1
460,BPTTTTVPXTTTVPXVVE,1
461,BNWVZUWWVYE,0
462,BTXXVPXTTVPXTVPXTTVVE,1
463,BTSSXXTVPXTVPXTTTTVVE,1
464,BTXXTTTVPXTTVPXTTTTVPXVPXTTTVPSE,1
465,BTXXVPXVPXTTVPXTTVPXVVE,1
466,BMOQUWWWVZUWVZUVZRE,0
467,BPTTTTTTTVPXTVPXTTTTVPXVPSE,1
468,BPVPXVPXTVPXTTTTTTTVVE,1
469,BQMMNUCCAFUCCAFUADE,0
470,BPSXPXSSSSXPXSXPXXPXXPXSSSXVE,0
471,BPTVPXTTTTTTTTTTVPXTTVPXVPSE,1
472,BPTTTTVPXTTTVPXTVPXTTVVE,1
473,BCILHJILHILHJJJJILHIKE,0
474,BPSSSXPXSSSSSSXVE,0
475,BPTTVPXTVPXTTTVPXVPXVVE,1
476,BTSSSSSSXXVPXTTTTVPXTVVE,1
477,BTXXVPXVPXTTTTTVPXTTVVE,1
478,BPTVPXVPXVPXVPXTTTVPSE,1
479,BTXPTVXPTVXPTTTVXVE,0
480,BOCAFUCCCAFUCADE,0
481,BNAFUCCAFUCCCCAFUAFUCADE,0
482,BNVZUWWWWVZUWWWWWVYE,0
483,BTXXVPXTTVPXVPXTTVPXVPXTTTVVE,1
484,BPTTTTTVPXVPXTTTTVPXVVE,1
485,BPSXPXSSSSSSSXVE,0
486,BMQUWWWWWVZUWVZRE,0
487,BOAFUAFUCAFUAFUCCCCADE,0
488,BOCAFUAFUAFUCCCADE,0
489,BPTTTTTTVPXTVVE,1
490,BTSSSSSSSSSSSSSXPVSE,0
491,BTSSSSSSSXXVPXTTTVPSE,1
492,BTSSXXTTTTTTTTVPXVPXTVPXTVPSE,1
493,BTXPVXPVXPTTTVXPTVXPTTVXPTTVSE,0
494,BTXXTTVPXTTTVPXTTTVPXTVVE,1
495,BTXPTTVXPVXVE,0
496,BPVPXVPXVPXVPXTVPXVVE,1
497,BQNUCCCCCAFUADE,0
498,BTTTVXXPXSXPXSXVE,0
499,BTSXXTVPXTTVPXTTTTVVE,1
500,BTSSSSSXXTTVPXTTTTTTVVE,1
501,BTXXTTVPXVPXTTTVPXTTTVVE,1
502,BTSSXXVPXTTTTTTVPXTTVPXVVE,1
503,BPSSXXTTTTTVPSE,0
504,BAFHILHJJILHJJJIKE,0
505,BTTTTVPXTVPXTVVE,0
506,BPVPXVPXTVPXVPXVPXTVVE,1
507,BPTTTTTTTTTTVSE,0
508,BTXXVPXTTTVPXVPXTTVPXVPXTTTVVE,1
509,BQMMMMMNUCAFUCADE,0
510,BTXXTTTTTTVPXTTVPSE,1
511,BPVPXTTTVPXTTVPXVPXVPXVPSE,1
512,BNWWVZUWVZUWWVZUWWWVYE,0
513,BPSSSXPXSSSSXPSE,0
514,BQMMNUCAFUAFUCAFRE,0
515,BAFHJJJJILHILHILHJILHJILGE,0
516,BPTTTTTVPXVPXTTTVVE,1
517,BMOOOQUCCCCAFUAFUADE,0
518,BTSSXXTTTTVPXTTTTTVPXVPXVVE,1
519,BTSSSSXXTTTTTTVPXTTVVE,1
520,BPVPXVPXTTVPXVPXTTVPXVPXVPSE,1
521,BPVXPVXPTVXPVXPVSE,0
522,BTXXTVPXTTTTTVPXTTTVVE,1
523,BPTTTTVPXVPXTTTVPXTTTVVE,1
524,BTVXXPXSXPXSXVE,0
525,BPTVPXTTTTTVPXVPXVVE,1
526,BPSSSXPXSSSXPXXVE,0
527,BMQUVZUWWWWWWWVZUWVYE,0
528,BPTTTVPXTTTTTTVPXTVPSE,1
529,BTSXXTTTTTVPXVPXTTTTTVPXTVPXTVPXTTVPXTTVVE,1
530,BPVPXVPXTVPXTTTVPXTVPSE,1
531,BTSSSXXTVPXTTTVPXTTTTVVE,1
532,BPTVXPTTTTVXPVXPVXPVSE,0
