string,valid
BPTTVPXTTTVPSE,1
BTXXTVPXTVVE,1
BPTTTVPXTTTTVPSE,1
BTSSSSXXVPXTTVPSE,1
BTSSXXVPXTTVVE,1
BTSXXTVPXTVVE,1
BTSXXVPXTTTVPXTVVE,1
BPVPXVPXVPXVPSE,1
BPTTTVPXTTVPXTTVVE,1
BTSSSXXTTTVVE,1
BTSSXXVPXVPXVPSE,1
BTXXVPXTVPXVPSE,1
BTXXTTVPXTVPXVPXVVE,1
BPTTTTTTTVPXTTVPXVVE,1
BPVPXTTVPXTVPSE,1
BPVPXVPXTVVE,1
BPTTTVPXVPXVVE,1
BPTVPXVPXTVPXTTVPXVPSE,1
BPTVPXTTTTVPXVPSE,1
BPTTTTTTTTTVPXVPXTVPSE,1
BPTTTTVPXVPXVPXTTTTTVVE,1
BPTTTVPXTTTTVVE,1
BPVPXVPXVPSE,1
BPVPXVPXTTVVE,1
BTSSSSSSSXXVVE,1
BPTVPXTVPXVPXTTTVPSE,1
BTXXTTTVPXTTVPSE,1
BPVPXTTTTVPXVVE,1
BPVPXTTTTVVE,1
BTSSSSSSSSSXSE,1
BTSSSSSXXVPXVPXVPXVVE,1
BTSSXXTTTTVVE,1
BTXXTVPXTVPSE,1
BTSSSSSXXTTVPSE,1
BTSXXTTTVPSE,1
BPTTVPXTTVVE,1
BPTTTTVPXTTVPXVVE,1
BTSSSSXXTTTTVPXVVE,1
BPTVPXVPXTTVVE,1
BTXXTTTTTTVVE,1
BTSSSXXTTVVE,1
BPTTTTTTVPXTTTTTTVVE,1
BPTTTTTTTVPXTVPSE,1
BPTTTTVPXTVPXVVE,1
BPVPXVPXVPXTTVVE,1
BTXXVPXTTVPXTVPSE,1
BPTVPXVPXVPXVPSE,1
BTSSSXXTTVPSE,1
BTXXVPXVPXTTVPXTTTVPXTTVVE,1
BPTVPXTTVPSE,1
BTXXTVPXTTTVPSE,1
BTSXXVPXTTTVPSE,1
BTSSSSSXXVPXTVPSE,1
BTXXTVPXVPXVPXVVE,1
BTSSSXXVPSE,1
BPVPXTVPXTVPSE,1
BTXXTTTTTVPXVPXVVE,1
BPVPXTVPXTVPXVPXTTVPXVPXVVE,1
BTXXTTTTTTTVVE,1
BTSSSSXXVPXTVPXVVE,1
BTSSXXVPXTTTTVPXTVVE,1
BTXXVPXTTVPXTTVVE,1
BTSXXVPXVPXTTTTTVVE,1
BPTTTTTTTVPSE,1
BPTTTTTTVPSE,1
BTXXTTTVPXTVVE,1
BPTTTVPXTTVVE,1
BTXXTTVPXVPSE,1
BTXXVPXTTTTTVPSE,1
BTSSSSSSXXTVVE,1
BPTTTTVPXTTTTTVPSE,1
BTSSXXTTTTVPSE,1
BTSSSSSSSSSSSXSE,1
BPTTTVPXTTTTTTTVVE,1
BTSSSSSXXVPXVPSE,1
BTSSSSSXXTVPXTVVE,1
BTSSSSSSXXTVPSE,1
BTXXTTTVPXTTTVPXTVPSE,1
BPVPXTVPXVPXTVVE,1
BTSSSXXVPXTTVPXVPXTTVPXTVPSE,1
BPTVPXVPXVVE,1
BPVPXVPXTTVPXTTTVVE,1
BTSSSSSSSSXXVVE,1
BTSSSXXTTVPXVVE,1
BTSSSSXXTVVE,1
BTSSSSSSXXVPXTVPXVPXTVVE,1
BTXXVPXTTTTVPXTVPXTVVE,1
BTSSXXTTVPXVVE,1
BTSSSSXXTTTTTTVPSE,1
BTXXTVPXVPXVPXTTTTTVPSE,1
BPTTTTTTVPXTVVE,1
BTSSSXXTTTTVVE,1
BTSSSSSSSSSXXTVVE,1
BTSSSSSSSSXSE,1
BPTTTTTTVPXTVPSE,1
BTSSXXTTTTTTVVE,1
BPTTTTTTTVPXTTTVPXTVPSE,1
BPTTTTTTTVPXTVVE,1
BTSSSXXVPXTTTVPXVVE,1
BTXXVPXTTTVPSE,1
BTSSSXXTVPXTTVVE,1
BPVPXTTVPXVPSE,1
BTXXTVPXVPXTTVPXTTTTTTVPSE,1
BTXXTTTVPXVPXVVE,1
BTXXVPXTVPXTTVPSE,1
BTXXVPXTVPXVVE,1
BPTTTTVPXVPSE,1
BPVPXVPXTTTTTVPSE,1
BPTTVPXTTTVVE,1
BTSXXTTTTTVPSE,1
BTSSSSXXVPXTVVE,1
BPVPXTVPXTTTVVE,1
BPTTVPXTVPXVVE,1
BTSSSSXXTTTVPXVVE,1
BTSSSXXVPXVPXTVVE,1
BTSSSSSXXVPXTVVE,1
BTSXXTTTTTTVVE,1
BPTTTVPXTVVE,1
BTSSSSSSXXVPXVVE,1
BTSXXVPXTVPSE,1
BPTVPXTTTVPXVPXTTVPSE,1
BTSXXTVPXVPXVPSE,1
BPTTTTTVPXTVPXTTVVE,1
BPTVPXTTTTTTVPXTTVPXTTVVE,1
BPVPXTTTTVPXTTTVVE,1
BTSXXTVPXTTVVE,1
BPTVPXTVPSE,1
BPTTTTTTTTTTTTTVPSE,1
BTSSSXXTVPXVPXVVE,1
BPVPXTVPXVPXTVPSE,1
BTSSSSSXXTTTTTVPXVPSE,1
BPTTTTTTTTTTVVE,1
BTXXTTTVPXTVPXVVE,1
BTXXTTTTVPSE,1
BPTTTVPXTTVPSE,1
BPTVPXVPXVPXVVE,1
BPTTVPXVPXTTVPXVPSE,1
BPTTTVPXTTTVVE,1
BTSSXXTTTTTTTVVE,1
BPTVPXTVPXTTTTTTVVE,1
BPTTTTVPXVPXVVE,1
BTSXXVPXTVPXTVVE,1
BTSSXXVPXTVVE,1
BTSXXVPXVPSE,1
BTSSXXVPXTTVPSE,1
BTSSSXXVPXVVE,1
BTSSSXXVPXTTVPSE,1
BTSXXTTVPXVPXTVPXVPXVVE,1
BTSSSSXXTVPSE,1
BPVPXTTVPXVVE,1
BTXXTTTTTVPXVPXTVPXTVPSE,1
BTSXXTTVPXTVVE,1
BTXXTTTTTVVE,1
BPVPXTTTVPXVPSE,1
BTSSXXTVPXTVPSE,1
BTSSSXXTTTVPXVPSE,1
BTSSSXXTVPXTVVE,1
BPTTVPXTTTTVVE,1
BTSSSSXXTTVVE,1
BPTTTTTTTTTVPXTTTVVE,1
BTSXXTTTTTTTVVE,1
BTSXXVPXTVVE,1
BTSXXVPXVPXTTTTVVE,1
BTSSXXVPXTVPXTTTVVE,1
BTSSSSSXXTTTTTTTVPXTVVE,1
BTSXXVPXTVPXVVE,1
BPTTTTVPXTTVVE,1
BTSSSSSSXXTVPXVVE,1
BPVPXTTTTTTTTTTTVPXVVE,1
BTSSXXVPXVPSE,1
BTXXTVPXTTTTTTVPSE,1
BPVPXVPXVPXTTTVPSE,1
BTXXVPXVPXVVE,1
BPVPXTTTVPXVPXTTTVVE,1
BTSXXTVPXTTTTVVE,1
BTSSXXTTVPXVPXVPXTTVPXVVE,1
BPTVPXTVPXTTTVPXTVVE,1
BTXXTVPXTTTVVE,1
BTSSSSXXTVPXTTVVE,1
BTSSSSSSXXTVPXTVPXVVE,1
BPTTTTTTVPXVPSE,1
BTSSSSSSSXXVPSE,1
BTSSSXXVPXTTTTVPSE,1
BPTVPXTVPXTTVVE,1
BTXXTVPXVPXTVVE,1
BPTVPXTTTVPSE,1
BTXXTTTVPXTTTVPXTTTVPSE,1
BPTTTTTTTTTTTTVVE,1
BTSXXTVPXTTTVPSE,1
BTSXXTTTTVPSE,1
BPVPXTTTVPXVVE,1
BTSSXXTTVPXVPSE,1
BTSSSSSXXTVPSE,1
BTSXXVPXVPXTTVVE,1
BTXXTTTTVPXTTTVVE,1
BTSSSSXXTTVPSE,1
BTSSSSSSSSSXXTTVVE,1
BTXXTTVPXVPXVPXVVE,1
BTSXXTTTVPXTVVE,1
BTSSXXTTTVPXVPSE,1
BPVPXTVPXTVPXTVVE,1
BPTTVPXVPXVPSE,1
BPTTTTVPXTTTTVPSE,1
BTSSSSXXTTTVPSE,1
BTSSXXTVPXTTVVE,1
BTXXTVPXVPXVPSE,1
BPVPXTTVPXVPXVPXTTVPXVPSE,1
BPVPXVPXTTVPXVVE,1
BPVPXTVPXTTVPSE,1
BTSSSSXXTTVPXVPXTVPSE,1
BTSXXTVPXTVPXTTTTTVPSE,1
BTSXXTTVPXVPSE,1
BTXXTTTTVPXVPSE,1
BPVPXVPXTTVPSE,1
BTSSXXTTVPXTVPXTVVE,1
BTSXXTTTTTTTTTVPXVVE,1
BTSSSXXTVPXTTVPXTVPSE,1
BPTTTTTTTTTTTVPSE,1
BTSSSSXXTVPXTTVPXVPXTVPSE,1
BPTTTVPXTVPXTVPXVPSE,1
BTSXXTTTTTTTTTVVE,1
BTSSXXTTVPXVPXVVE,1
BPVPXTTTTTTVPXVVE,1
BTXXVPXTTTVPXVVE,1
BPTVPXTVPXTTVPXTVVE,1
BPTVPXTTTTTTTVPSE,1
BPVPXVPXTTTVPSE,1
BPTTTTVPXTVVE,1
BPVPXTTTTTVVE,1
BPTTTTTTVPXVPXTTTTVPSE,1
BPVPXTVPXTTVPXVVE,1
BPVPXTVPXVPXTTTVVE,1
BTSSSSSXXTVVE,1
BPTVPXVPXTTTTTTTVVE,1
BPTTTTTVPXVPSE,1
BPTVPXTTTTTTVVE,1
BPTTTTVPXTVPXVPSE,1
BPTTTTTTTTVPSE,1
BPVPXTVPXTTVPXVPXTTVVE,1
BPVPXTVPXVPXTTVPSE,1
BTXXTTTVPXTTTTTTTVVE,1
BPTVPXVPXTVVE,1
BTSSXXTTTTVPXTTVVE,1
BTSSXXTVPXTVVE,1
BTXXTVPXTTVPXVPXTTTVPXTTVVE,1
BTXXTTVPXVPXTVPSE,1
BPTVPXTTTVPXTVVE,1
BPVPXTTTTTTTTVPXVVE,1
BTXXVPXTTVPXTVPXVPXTVVE,1
BTSSSSSXXTVPXVVE,1
BPTTVPXTTVPXTVPSE,1
BTXXTTTTTVPXTTVVE,1
BPTVPXTTTTVPXTVVE,1
BTSXXTTTTTVPXTVVE,1
BTXXTTTTTTTTTTTTVVE,1
BPTTVPXTTTTTTVVE,1
BPTVPXTVPXVPXTTTVVE,1
BPTTTTTVPXTTVVE,1
BTSSSXXTTVPXVPSE,1
BPVPXTTTTTVPSE,1
BPVPXTTTVPXTVPXTVVE,1
BPVPXTTTTTTVPSE,1
BTSXXVPXTTVPXTVPXVPSE,1
BPVPXTVPXVPXVVE,1
BPTTTVPXVPXTTTVPXTTVPXVPXTVPXTTTTVVE,1
BTSSXXTVPXTTTTTTVVE,1
BPTTTTTTTTTVVE,1
BPVPXTTVPXTVVE,1
BPTTVPXVPXVPXVPSE,1
BTSSSSXXTVPXTVPSE,1
BTSSSXXTTTVPXVVE,1
BPTVPXTTTVPXVPSE,1
BTXXVPXVPXTVVE,1
BPVPXTTTTVPXVPXVPSE,1
BPVPXTTTVPXTTTVVE,1
BTSXXTVPXVPXVPXVVE,1
BPVPXTTVPXTVPXVVE,1
BTXXTTVPXTTTTTVVE,1
BTSSXXVPXTTTVPXTVVE,1
BPTVPXTVPXTTVPXVPXTVVE,1
BTSSSSSSXXTTTTVVE,1
BPTVPXTTVPXVPXTTVPXVVE,1
BTXXTVPXVPXTVPXTVPSE,1
BTXXTVPXTTVPSE,1
BTXXTVPXVPXTTVVE,1
BTSSXXTVPXVPXTVPXTTTVPSE,1
BTXXTTTTTTTTVPSE,1
BTSSSSSSXXTTTTTTTTVVE,1
BTSXXVPXVPXVPSE,1
BTSSSXXTTTTVPXTVVE,1
BTSXXTTTTVPXVVE,1
BTSXXTTVPXTVPSE,1
BTXXVPXTTTTVPXVVE,1
BPTTVPXTVPXTTVVE,1
BTSXXTTTVPXVVE,1
BTSXXTTTTTVPXTTVPSE,1
BTSSXXTVPXTTTVPXVPXVPSE,1
BTXXVPXVPXTTTVVE,1
BPTTVPXTTTTTVVE,1
BTSXXTVPXTTTVVE,1
BPTTTVPXTVPXVVE,1
BTSXXTTVPXVVE,1
BTSSSXXTTTTVPSE,1
BPTTTTTVPXTVPXVPSE,1
BTXXTTTTVPXVVE,1
BTSSSSSSSXXTTVVE,1
BTXXTTVPXVPXVPXTVPXTTTTVPXVVE,1
BTSSSSSXXTVPXTVPXVVE,1
BPVPXTVPXTTTVPXTVVE,1
BTSSXXTTTTVPXTVPXTVPXTVVE,1
BTSSXXTTTTTTTTVPSE,1
BTXXTTVPXVPXVPSE,1
BTSSSXXVPXTVPXTVVE,1
BPTVPXTTVPXTTVVE,1
BPVPXTTTTTVPXTTVVE,1
BTXXTTTVPXTVPSE,1
BTXXVPXTTTVPXTTVVE,1
BPTTVPXVPXTTVPXTTTTTVPSE,1
BTXXTTTTVPXTVPXTTVVE,1
BPTTVPXTTVPXTTVVE,1
BPTTVPXTTVPXVVE,1
BTSXXTTTVPXTTVVE,1
BPTVPXVPXTTTVPSE,1
BPTVPXTTVPXVPXTVVE,1
BTXXTTVPXVPXVVE,1
BTSSSSSSXXVPSE,1
BPTTTVPXTVPXTTVPXTVPXTTVVE,1
BTSSSSSSXXVVE,1
BPTTTTTTTTVPXTVPSE,1
BTSXXVPXTTVPXVVE,1
BPTTTTTTTTTVPXVPXTVVE,1
BPVPXTTTTVPXVPSE,1
BPTVPXTVPXTTTVPXTTTVVE,1
BPTVPXTTVPXTVPSE,1
BPTVPXTTTTTTTTTVPXTVVE,1
BPTTTTTVPXVPXTVPSE,1
BPTVPXTTTTVPXVVE,1
BTXXVPXTVPXTTVPXVVE,1
BPTVPXVPXTTVPSE,1
BPTTTTTVPXTVPSE,1
BTSSXXTVPXVPXTTTVPXVVE,1
BPTVPXVPXVPXVPXTVPSE,1
BTXXVPXTVPXTVVE,1
BTXXTTVPXVPXTVVE,1
BPTTTTVPXTTTTTTVVE,1
BTSXXTVPXTVPXTTTVPSE,1
BPTTVPXTTVPXVPSE,1
BTSSSSSSSSSSXXVVE,1
BTSSXXVPXTTTVPXTTTTTTVVE,1
BPTTTTTTTTTVPSE,1
BTSXXTVPXTVPSE,1
BTSXXTTTTTTVPXTVPSE,1
BPTTVPXVPXTVVE,1
BTSSSXXVPXTVVE,1
BTSSSSXXTTTTTVPXTTTVPXTVPXTVPSE,1
BPTTTTTTTTVPXVPXTVVE,1
BTSXXVPXTTTTVPXTTVPXTTTTTTVPSE,1
BTXXTVPXTTVPXTTVPXVVE,1
BPVPXVPXTTTTVPSE,1
BPVPXVPXTTTTTVVE,1
BTXXTTVPXVPXTTVVE,1
BTSSXXTTTVPXTVVE,1
BTXXTVPXTVPXVVE,1
BTSXXTTTVPXVPSE,1
BTSSXXTTTTTTTTVPXTVVE,1
BPTTTTTTTTVPXVVE,1
BTSSXXVPXTTVPXVPXVPXVVE,1
BPVPXTVPXVPXVPSE,1
BTSSSSXXVPXTVPSE,1
BTSXXVPXTTTTVPSE,1
BPTTTVPXTTTVPXVVE,1
BTXXTTTTTVPXTTTTVVE,1
BPVPXVPXVPXTVVE,1
BTXXTTVPXTTTVPXTTTTTVPSE,1
BPTVPXTTVPXVPSE,1
BPVPXVPXTTTTVVE,1
BPTVPXVPXTTTTVPXTTVVE,1
BTSXXTTTVPXVPXVPXVVE,1
BPTVPXVPXTTTTTVPXTVVE,1
BTXXTVPXTTVPXVVE,1
BTSSSSSSSXSE,1
BTSSXXTTVPXTVPXVVE,1
BPTTTTTVPXTVVE,1
BTXXVPXTTTTTVPXTVPSE,1
BTXXTVPXTTVPXVPXTVVE,1
BPVPXVPXTTTVVE,1
BPTTTVPXTTVPXTVVE,1
BPTTTTTTVPXVVE,1
BTSSSXXTVPXVVE,1
BPTTVPXVPXTVPXVPSE,1
BTSXXTVPXVPSE,1
BPTVPXVPXTVPXVVE,1
BPTVPXTVPXVPXTVPSE,1
BPVPXTTTTVPXVPXVVE,1
BTXXTVPXTTTTTVVE,1
BTSXXVPXTTTTTTTVPSE,1
BPTVPXVPXTTVPXTVPXTVVE,1
BTSSSSSSSSSSSSXXTTTVVE,1
BTXXVPXTVPXTVPXTTVVE,1
BTSSXXTTTTTVVE,1
BTSXXTTVPXTTTVPXTTTTVVE,1
BTXXVPXTTTVPXVPSE,1
BTXXTVPXTTVPXVPXVPSE,1
BTSSSSSSXXTTVPXTTTVPXTTVVE,1
BTXXVPXTTVPXVVE,1
BTSSSSXXTTTTVVE,1
BPTTTVPXVPXVPXVVE,1
BPTVPXVPXTTTTTVVE,1
BTXXTTVPXTVPXVPSE,1
BPVPXVPXTTTTTVPXVVE,1
BPTVPXTTTTTVVE,1
BPTTVPXVPXTTVPSE,1
BPTVPXTVPXVPSE,1
BTSSSXXTTTTTVVE,1
BTSSSXXVPXTVPSE,1
BPTTTVPXVPXTVPXVPSE,1
BPVPXTTVPXTTVVE,1
BPTTTTTTTVPXTVPXVVE,1
BTXXTVPXVPXTTTVPSE,1
BPTVPXTTTTTTVPSE,1
BPTTTVPXVPXTVPXTTTVVE,1
BTSSSSXXTVPXVVE,1
BPTTVPXTTTTVPSE,1
BTXXTTVPXTVPXVPXTTVVE,1
BTXXTTVPXTTTVPSE,1
BPTVPXVPXVPXTTTTTVVE,1
BTXXTTVPXTTVPSE,1
BPTVPXTTVPXTTVPXTVPSE,1
BPTVPXTVPXTVPXTTTVVE,1
BTSXXTVPXTTVPSE,1
BTXXTTTVPXVPXVPSE,1
BPTTTVPXVPXTTTVPXVVE,1
BTXXTVPXTVPXTTVPXVVE,1
BPTTVPXVPXTVPXTTTVVE,1
BPVPXTTTVPXTVPSE,1
BPTTTTTTTTTTTTTVPXVVE,1
BPVPXTTTTVPXVPXTTTTVVE,1
BTSSSSSSSSXXTVPSE,1
BPTTTTTTVPXTTTTVPSE,1
BPVPXTTTVPXTVVE,1
BTSSSSSSXXTTVVE,1
BTSXXVPXTVPXVPSE,1
BPTTTTVPXVPXTTVVE,1
BPVPXVPXTTTTTTTTTTVVE,1
BTSSSSSSXXVPXTVPSE,1
BTXXTTTVPXTTTVPSE,1
BPVPXTTTTVPXVPXTTTTVPSE,1
BTSSSSXXTTVPXTTVVE,1
BPTTVPXVPXTTVVE,1
BTSSSXXTVPXTVPSE,1
BTSXXVPXTTVPXVPXTVPSE,1
BTXXTTTTTTVPXVVE,1
BPTTTTTTTVPXTTVPXTTVVE,1
BPTVPXTTTTTTTTVVE,1
BTXXTTTTTTVPXTVVE,1
BPTTTVPXVPXVPSE,1
BTXXVPXVPXTTVVE,1
BTSSXXTTTVPXVVE,1
BTSSXXVPXVPXTVPSE,1
BPTVPXVPXVPXVPXVVE,1
BTSXXTTVPXTTTTTTTTVVE,1
BTXXTVPXTTTTTTTTVPXTTVPXVVE,1
BTSSSSSSSSXXTTTVVE,1
BTSSSSSSXXTTVPSE,1
BTSXXTVPXTTTTTVPSE,1
BTXXTTVPXTTTTTTTVPSE,1
BTXXVPXTTVPXTTTTTVVE,1
BPTTTTVPXTTTTTVVE,1
BPVPXTTTTTTTVPSE,1
BTSSXXTTTTTTTVPXVPXTTVPSE,1
BTXXTTVPXTTVPXVPSE,1
BTXXVPXVPXTTVPSE,1
BTXXTVPXVPXTTTTTVVE,1
BPVPXTTVPXVPXTTVPXTVPXVVE,1
BTSSSSXXTTTVPXTVPSE,1
BTSXXVPXTVPXTTVPXVPSE,1
BPVPXVPXVPXTTVPSE,1
BTSSXXVPXVPXTVVE,1
BPTTVPXTTTTTVPXTTVPSE,1
BPVPXTTVPXTVPXTVPSE,1
BPTVPXTVPXVPXVPSE,1
BTXXTVPXTTTTVPSE,1
BTSSXXTTTTTTVPSE,1
BPVPXVPXTVPXVVE,1
BPTVPXVPXTTTTTTVPSE,1
BPVPXVPXTTTTTTVVE,1
BPTTVPXVPXVPXVVE,1
BTSSSSSXXTTVVE,1
BPVPXTTTTVPXTTVVE,1
BTSSSXXTTTTTVPSE,1
BPTVPXTTTTTTTVVE,1
BPVPXVPXVPXTVPXVPXTTVVE,1
BTXXVPXVPXTTTVPSE,1
BTSSXXTTTVPXTVPXTVVE,1
BPTTTTTTTTVPXTVVE,1
BTSXXVPXTTTVPXTVPXVVE,1
BTSXXVPXVPXTVVE,1
BPVPXVPXVPXTTTTVPSE,1
BPTTTTTVPXVPXTVVE,1
BPTTTVPXVPXVPXVPXVVE,1
BTSSSSXXTVPXTVPXTVPSE,1
BPVPXTTTTTTTTVPXTTVVE,1
BTXXTTVPXTVPSE,1
BPTVPXVPXVPXTTVVE,1
BPTTVPXTTTVPXTTTTVPSE,1
BTXXTTTVPXVPXVPXTVPXVPXTTVVE,1
BTXXTTTVPXTTVVE,1
BTSSSSSSSSSSXXVPXVVE,1
BTSSSSXXTTTVPXTTVPSE,1
BPVPXTVPXTVPXTTVVE,1
BTSSSSXXTVPXTVPXTVVE,1
BTSSXXTVPXVPXTVVE,1
BPTTVPXVPXTVPSE,1
BPTTTTTTVPXVPXTVPSE,1
BTSSSXXTTTTVPXTTVVE,1
BPVPXVPXVPXTVPXVVE,1
BPVPXTVPXTTTTTTVVE,1
BTSSSSXXTTTTTTTVVE,1
BTSSSSSSSSSXXTTVPSE,1
BTSSSSSSSSSSXXTTTVVE,1
BPTTVPXVPXTTTVPSE,1
BPTVPXTTTVPXVPXTTTVPXTTVVE,1
BTSXXVPXVPXTVPXTVVE,1
BTXXTVPXVPXTTVPSE,1
BTSSSSSSXXTTTTVPSE,1
BTSSSSXXVPXVPXVPXTTTVVE,1
BTSXXTTVPXTVPXVPXTVVE,1
BPTTTTVPXVPXTTTVPXTVPSE,1
BPVPXTTTTTTVPXVPSE,1
BTSSSSSXXTTTTVVE,1
BTXXVPXTTTTVVE,1
BTSSXXVPXTTTTVVE,1
BPTVPXVPXVPXTTTVPSE,1
BPVPXTTTTTVPXVVE,1
BPTVPXTVPXTTTVPSE,1
BTSXXTVPXVPXTTVVE,1
BTXXVPXTVPXTVPSE,1
BTSXXTTVPXTTVPXVVE,1
BPVPXTTVPXVPXTVPSE,1
BTXXTTTTVPXTVVE,1
BTSSSSSSSXXTTVPXVPXTTTTVVE,1
BPTTTTTVPXVPXVVE,1
BTSXXTTTTVPXVPSE,1
BPTTVPXTTTTTTTTVPXVVE,1
BPTTTVPXTTVPXTVPSE,1
BTXXTTTTTVPXVPSE,1
BPVPXTTVPXTTTVPXVVE,1
BPTVPXVPXTTTVPXVPXVVE,1
BTXXTTTTTTTVPSE,1
BTSSSSSXXTTTVPSE,1
BTXXTTVPXTTTTVPXTVPXTVPSE,1
BTSSSXXTTTVPXTTTTTTVVE,1
BTXXTVPXTTTTVVE,1
BPTTVPXTTTVPXVVE,1
BTSXXTTVPXTTTTVVE,1
BTXXVPXTTTTVPXVPSE,1
BPVPXVPXTTVPXVPSE,1
BTSXXTTVPXVPXTVVE,1
BTXXTVPXTVPXTVPSE,1
BTSXXTVPXVPXTTTTVVE,1
BPTTTVPXVPXTVPSE,1
BTSXXVPXTTTTVVE,1
BTSXXTTTVPXTVPSE,1
BTSSSSSSSSXXTVVE,1
BPTVPXTTTTTTTTVPXTVVE,1
BPTTTTTVPXTVPXTVVE,1
BTSSSSXXTTVPXTVVE,1
BPTTTVPXTTTVPSE,1
BPTTTTTVPXTTTVPXTVVE,1
BTSSSSSSSSSXXTVPSE,1
BTXXVPXVPXVPXTVPSE,1
BTSSSXXTTVPXTVVE,1
BTXXVPXTTTVPXTVVE,1
BPVPXVPXVPXTTVPXVPXTVVE,1
BTSSSSXXTTTTVPSE,1
BTXXVPXTVPXVPXVVE,1
BPTVPXTTTTTTVPXVPSE,1
BTSSSXXTTTTTTVPXVPSE,1
BTSSXXVPXTTTVPSE,1
BTXXTTTTTVPXTTVPSE,1
BTSSSSXXVPXTTTVPSE,1
BPTTTTTVPXTTTTVVE,1
BTXXVPXVPXVPSE,1
BTSSSSXXTTTTTVVE,1
BTXXTTVPXTVPXVVE,1
